1451611025,ir,MAV,(270,20)
1451616929,pcp,MAV,(139,2)
1451619610,vz,MACD,(59,189)
1451619621,tmk,MAV,(241,9)
1451623315,luk,PLOT,(63,10)
1451626479,leg,PREDICT
1451629386,ipg,MAV,(189,3)
1451633430,pbct,MAV,(292,11)
1451635880,px,PLOT,(178,5)
1451637579,avp,PREDICT
1451639296,cb,PLOT,(170,3)
1451645607,ci,MAV,(194,15)
1451649047,te,MAV,(164,9)
1451651439,pg,PLOT,(131,5)
1451653932,mwv,PLOT,(88,8)
1451659091,tgt,PLOT,(183,10)
1451664610,fitb,PLOT,(153,4)
1451665313,bax,REPORT
1451671277,efx,MAV,(254,5)
1451671707,gd,MACD,(61,170)
1451677261,tgt,PLOT,(83,7)
1451679193,rok,MAV,(245,18)
1451686566,petm,MACD,(97,159)
1451692253,apa,MAV,(141,19)
1451699124,dri,MACD,(63,193)
1451704700,glw,MAV,(125,14)
1451709093,symc,MAV,(247,17)
1451714313,ko,PREDICT
1451715972,fdx,PLOT,(74,7)
1451716743,tmo,PLOT,(113,10)
1451722788,hrb,MAV,(169,19)
1451725071,shw,PREDICT
1451725347,bcr,PREDICT
1451731371,aet,MAV,(143,7)
1451738287,mkc,MAV,(240,3)
1451744989,irm,MAV,(108,7)
1451748221,twx,MAV,(155,13)
1451753890,cbs,REPORT
1451760723,tif,MAV,(278,9)
1451761518,mar,REPORT
1451766442,dte,MACD,(92,199)
1451768791,hon,MAV,(177,4)
1451775149,bbt,REPORT
1451775292,mcd,PREDICT
1451782402,payx,PLOT,(174,6)
1451788560,sbux,PREDICT
1451793139,gww,MACD,(71,187)
1451796596,pcl,PLOT,(121,1)
1451797200,unm,PREDICT
1451801201,rtn,MAV,(103,2)
1451801213,rf,MAV,(214,1)
1451803403,cmi,PREDICT
1451804871,gci,MAV,(285,9)
1451806268,all,MAV,(114,19)
1451812046,r,PLOT,(141,10)
1451818900,cce,PREDICT
1451824535,dow,MAV,(207,11)
1451827599,stt,PREDICT
1451830576,itw,PLOT,(93,5)
1451832863,aon,MAV,(264,15)
1451835683,iff,PREDICT
1451840884,bbt,MAV,(207,13)
1451844918,nbl,MACD,(53,194)
1451847218,gis,REPORT
1451847552,hum,MACD,(86,177)
1451848989,de,MACD,(100,169)
1451853422,tif,PREDICT
1451856390,vmc,PLOT,(73,10)
1451863563,tif,PREDICT
1451870715,dri,PLOT,(159,4)
1451876658,pom,PREDICT
1451880343,aapl,REPORT
1451881769,tif,MACD,(51,190)
1451885253,beam,REPORT
1451891254,mhfi,PREDICT
1451892872,so,PREDICT
1451899013,cl,PREDICT
1451899916,fmc,REPORT
1451907301,cop,PLOT,(157,6)
1451914275,jpm,REPORT
1451918953,oxy,MACD,(70,195)
1451924619,x,MAV,(147,5)
1451927119,has,MAV,(257,19)
1451933992,ne,MAV,(130,2)
1451938164,ltd,PREDICT
1451941747,phm,MACD,(100,193)
1451943474,stj,MAV,(160,16)
1451948347,spg,PLOT,(174,1)
1451951951,omc,MAV,(147,16)
1451959199,syy,MACD,(64,193)
1451961505,bms,PREDICT
1451961617,ip,REPORT
1451965183,x,PLOT,(55,5)
1451968360,rost,PREDICT
1451973390,xom,MACD,(63,183)
1451979403,el,PREDICT
1451981111,tmk,PREDICT
1451983935,lm,PREDICT
1451986429,dow,PREDICT
1451987481,mur,MAV,(125,13)
1451991990,mhfi,PLOT,(112,2)
1451999488,sial,PLOT,(178,9)
1452000319,dte,PLOT,(79,7)
1452002140,abc,MACD,(88,156)
1452008008,nue,MAV,(235,7)
1452014284,efx,PREDICT
1452015647,mck,PLOT,(66,4)
1452022728,stj,PLOT,(134,4)
1452024961,petm,PREDICT
1452031734,abt,PREDICT
1452038792,oxy,REPORT
1452043207,wfm,PREDICT
1452043604,bll,PREDICT
1452046130,cpb,MAV,(120,15)
1452048757,nsc,MAV,(145,18)
1452050280,amgn,REPORT
1452056072,fast,MAV,(252,1)
1452061780,el,PLOT,(126,3)
1452065222,aet,MAV,(192,3)
1452068254,so,MACD,(66,182)
1452074011,mck,MACD,(91,152)
1452079036,mhfi,MACD,(82,157)
1452084321,te,MAV,(103,10)
1452087389,ir,MAV,(253,12)
1452089736,intu,MAV,(117,13)
1452092383,aon,PREDICT
1452098543,cost,PLOT,(74,9)
1452102062,pcg,MAV,(155,8)
1452105655,spg,PREDICT
1452106863,mas,REPORT
1452106963,vno,MAV,(280,4)
1452112607,gis,PREDICT
1452118956,c,MAV,(178,13)
1452124129,eix,PLOT,(96,6)
1452126615,vno,MACD,(90,182)
1452132661,ca,REPORT
1452137965,cmi,PLOT,(129,8)
1452142229,unp,MAV,(102,5)
1452145495,fdx,PLOT,(109,2)
1452147532,ppg,PREDICT
1452148189,pcg,MAV,(141,12)
1452151039,len,MACD,(54,175)
1452154937,gis,PLOT,(102,2)
1452162036,mwv,PLOT,(63,2)
1452164848,cvs,PLOT,(57,4)
1452169072,csx,MACD,(62,169)
1452175783,key,PLOT,(141,7)
1452178905,kim,PLOT,(121,10)
1452184141,bxp,MACD,(54,179)
1452189209,csx,PREDICT
1452191843,altr,REPORT
1452198415,apa,MAV,(185,16)
1452202383,mmm,PLOT,(92,3)
1452207514,k,REPORT
1452207898,scg,MAV,(261,14)
1452211059,swy,PREDICT
1452211496,hban,PLOT,(176,2)
1452213809,mas,MACD,(87,169)
1452219974,har,PLOT,(73,6)
1452224411,ppg,MACD,(50,158)
1452225169,pcg,PREDICT
1452229232,orcl,MAV,(192,17)
1452229599,emr,PREDICT
1452230083,aapl,MAV,(228,7)
1452233779,cbs,MAV,(136,15)
1452238703,fdx,MAV,(207,18)
1452242687,rtn,MAV,(122,9)
1452249847,duk,MAV,(201,5)
1452253745,do,PREDICT
1452254645,mkc,PLOT,(130,9)
1452261698,pcg,PREDICT
